station_id,station_name,network,latitude,longitude,elevation_m,selected_for_project,variable_count,variables
MH::dpcn-marche::c736667faf7e,Foce Aso,dpcn-marche,43.1019,13.8375,4.0,True,1,B13215
MH::dpcn-marche::d652eedff07d,Briglia Volpi,dpcn-marche,42.89038,13.87938,-1.0,True,1,B13215
MH::dpcn-marche::d9512702c69f,Fermo,dpcn-marche,43.1575,13.7144,140.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::e5a18b29a68f,Nevola,dpcn-marche,43.63852,13.0769,71.0,True,1,B13215
MH::dpcn-marche::eb8cf656b14b,Aspio,dpcn-marche,43.51722,13.53285,24.0,True,1,B13215
MH::dpcn-marche::ec60f1eff25e,Porto Recanati,dpcn-marche,43.41521,13.65162,14.0,True,1,B13215
MH::dpcn-marche::ee28b7fb66ee,Ancona Regione,dpcn-marche,43.6103,13.5083,47.0,True,6,B10004|B11001|B11002|B12101|B13003|B13011
MH::dpcn-marche::f186bdcc9baf,Cesano,dpcn-marche,43.6649,13.01444,89.0,True,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::f20c7d063dd5,Osimo Monteragolo,dpcn-marche,43.49232,13.50175,-1.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::f946a97dfcd5,Fiumesino,dpcn-marche,43.62947,13.37233,-1.0,True,2,B13011|B13215
MH::dpcn-marche::fdb08f19e790,Aspio 2,dpcn-marche,43.49395,13.56658,11.0,True,1,B13215
MH::dpcn-puglia::07aadb2f2aac,Adelfia,dpcn-puglia,41.00083,16.86717,156.0,True,1,B13011
MH::dpcn-puglia::274e683c4d9e,Conversano,dpcn-puglia,40.9205,17.12583,201.0,True,1,B13011
MH::dpcn-puglia::317ca2ca67bf,Casamassima,dpcn-puglia,40.9535,16.9175,222.0,True,1,B13011
MH::dpcn-puglia::863486f2d299,Castellana Grotte,dpcn-puglia,40.87583,17.208,310.0,True,1,B13011
MH::dpcn-puglia::a1c4d6edae1a,Turi,dpcn-puglia,40.90067,17.05267,221.0,True,1,B13011
MH::dpcn-puglia::c429e9e90bdc,Bitonto,dpcn-puglia,41.093,16.705,108.0,True,1,B13011
MH::dpcn-puglia::d0a79677adb2,Grumo Appula,dpcn-puglia,40.998,16.73117,180.0,True,1,B13011
MH::dpcn-puglia::e28ff345fcd2,Bari Osservatorio,dpcn-puglia,41.11517,16.87733,7.0,True,1,B13011
MH::dpcn-puglia::ec36a7a4aa8e,Bari Campus,dpcn-puglia,41.09533,16.8715,14.0,True,1,B13011
MH::dpcn-veneto::08e720c67d9b,Chioggia CMT,dpcn-veneto,45.21813,12.28305,0.0,True,2,B12101|B13011
MH::dpcn-veneto::135f658a5ce6,Latisana,dpcn-veneto,45.75583,12.9975,6.0,True,1,B13215
MH::dpcn-veneto::2054e6a7e1d3,Zuccarello CMT,dpcn-veneto,45.53739,12.37831,0.0,True,6,B11001|B11002|B11041|B12101|B13003|B13011
MH::dpcn-veneto::24018eecb525,Venezia-Treporti CMT,dpcn-veneto,45.45872,12.48626,1.0,True,5,B11001|B11002|B12101|B13003|B13011
MH::dpcn-veneto::2f4aa3ec9c79,Pradon CMT,dpcn-veneto,44.91734,12.3691,0.0,True,5,B11001|B11002|B12101|B13003|B13011
MH::dpcn-veneto::30b3f292c4ec,Cortellazzo CMT,dpcn-veneto,45.53585,12.65882,0.0,True,6,B11001|B11002|B11041|B12101|B13003|B13011
MH::dpcn-veneto::416672aef3b8,Lugugnana di Portogruaro CMT,dpcn-veneto,45.70491,12.94669,0.0,True,3,B12101|B13003|B13011
MH::dpcn-veneto::49a4895d3e55,Mira CMT,dpcn-veneto,45.43596,12.11748,6.0,True,3,B12101|B13003|B13011
MH::dpcn-veneto::5a81c83da11f,Eraclea CMT,dpcn-veneto,45.60317,12.70706,1.0,True,5,B11001|B11002|B12101|B13003|B13011
MH::dpcn-veneto::5eea91b2ada3,Bibione CMT,dpcn-veneto,45.64137,13.07747,1.0,True,5,B11001|B11002|B12101|B13003|B13011
MH::dpcn-veneto::5fe7e65212b8,Chioggia S.Anna CMT,dpcn-veneto,45.14466,12.27579,1.0,True,3,B12101|B13003|B13011
MH::dpcn-veneto::61b7a7acda54,Porto Barricata,dpcn-veneto,44.84861,12.465,2.0,True,1,B13215
MH::dpcn-veneto::733580dd0906,Noventa di Piave CMT,dpcn-veneto,45.66841,12.58851,1.0,True,3,B12101|B13003|B13011
MH::dpcn-veneto::79559cf26111,Porto Levante,dpcn-veneto,45.0481,12.36196,1.0,True,1,B13215
MH::dpcn-veneto::9363f034f205,Portogruaro CMT,dpcn-veneto,45.74549,12.76129,2.0,True,5,B11001|B11002|B12101|B13003|B13011
MH::dpcn-veneto::a0023f1d93b4,Eraclea,dpcn-veneto,45.57362,12.67387,0.0,True,1,B13215
MH::dpcn-veneto::c84a4d8b78c1,S.Dona'di Piave,dpcn-veneto,45.62541,12.56309,3.0,True,1,B13215
MH::dpcn-veneto::caaff0685441,La Salute di Livenza,dpcn-veneto,45.65563,12.80028,5.0,True,1,B13215
MH::dpcn-veneto::d2e618e555a9,Cavarzere,dpcn-veneto,45.13833,12.08186,3.0,True,1,B13215
MH::dpcn-veneto::d7b4884092c3,Mogliano Veneto CMT,dpcn-veneto,45.58074,12.30779,5.0,True,5,B11001|B11002|B12101|B13003|B13011
MH::dpcn-veneto::dc91bc84a811,Fossalta di Portogruaro CMT,dpcn-veneto,45.77567,12.89394,3.0,True,3,B12101|B13003|B13011
MH::dpcn-veneto::f21d799c4de8,Gesia-Cavarzere CMT,dpcn-veneto,45.1615,12.0872,0.0,True,5,B11001|B11002|B12101|B13003|B13011
