bufr_code,canonical_variable,canonical_unit,observation_count,station_count,selected_station_count,first_time,last_time
B10004,pressure,hPa,2660,21,4,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z
B11001,wind_direction,degree,36389,99,13,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z
B11002,wind_speed,m s-1,37159,100,13,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z
B11041,wind_gust_max,m s-1,13053,32,2,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z
B12101,air_temperature,degree_Celsius,61324,236,43,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z
B13003,relative_humidity,%,45467,185,37,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z
B13011,precipitation_amount,mm,167871,254,63,2026-06-18T11:23:00Z,2026-06-21T16:10:00Z
B13013,unmapped_B13013,,3222,26,0,2026-06-18T11:30:00Z,2026-06-21T16:00:00Z
B13215,unmapped_B13215,,42460,168,43,2026-06-18T11:25:00Z,2026-06-21T16:00:00Z
