bufr_code,timerange_indicator,timerange_start_seconds,timerange_end_seconds,aggregation_seconds,observation_count
B10004,254,0,0,,2660
B11001,254,0,0,,36389
B11002,254,0,0,,37159
B11041,2,0,3600,3600,13053
B12101,254,0,0,,61324
B13003,254,0,0,,45467
B13011,1,0,1800,1800,1660
B13011,1,0,300,300,93120
B13011,1,0,60,60,52325
B13011,1,0,600,600,430
B13011,1,0,900,900,20336
B13013,254,0,0,,3222
B13215,254,0,0,,42460
