station_id,station_name,network,latitude,longitude,elevation_m,selected_for_project,variable_count,variables
MH::dpcn-marche::47d9180dcdd8,Foglia 2,dpcn-marche,43.85179,12.7868,45.0,True,2,B13011|B13215
MH::dpcn-marche::488c56dcac91,Camponocecchio,dpcn-marche,43.40635,12.98029,184.0,False,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::492306fb36f7,San Lorenzo in Campo,dpcn-marche,43.605,12.95333,-1.0,False,1,B13011
MH::dpcn-marche::49683b1483cb,Sorti,dpcn-marche,43.11957,12.95295,-1.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::4b30ece76f74,Marina di Montemarciano,dpcn-marche,43.6463,13.34047,-1.0,True,2,B13011|B13215
MH::dpcn-marche::4b4a9f7399a2,Musone,dpcn-marche,43.4756,13.38844,124.0,True,3,B12101|B13011|B13215
MH::dpcn-marche::4c7b4537d0f5,Cagli Ponte Cavour,dpcn-marche,43.54255,12.64875,0.0,False,1,B13215
MH::dpcn-marche::4e90fc3972b0,Cingoli,dpcn-marche,43.36223,13.19233,-1.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::4fe064149956,Montecavallo,dpcn-marche,42.98368,12.99405,-1.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::4fe5a90ec688,Colle,dpcn-marche,43.5347,13.0564,328.0,False,6,B10004|B11001|B11002|B12101|B13003|B13011
MH::dpcn-marche::5095eaf8898e,Frontino,dpcn-marche,43.75863,12.357,0.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::55726ed2e45b,Gualdo,dpcn-marche,42.88622,13.16578,0.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::5604e8920253,Aso,dpcn-marche,43.02143,13.61847,-1.0,True,1,B13215
MH::dpcn-marche::588eac823e6b,Potenza 1,dpcn-marche,43.22954,13.18845,231.0,False,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::5b2f428cb313,San Benedetto,dpcn-marche,42.9333,13.8892,1.0,True,6,B10004|B11001|B11002|B12101|B13003|B13011
MH::dpcn-marche::5c4a7c61f5fd,Foglia 1,dpcn-marche,43.79423,12.6188,127.0,False,2,B13011|B13215
MH::dpcn-marche::5cb398cdf6f8,Tronto,dpcn-marche,42.85223,13.65146,77.0,False,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::5e185febd011,Cupramontana,dpcn-marche,43.44538,13.11565,-1.0,False,1,B13011
MH::dpcn-marche::5e32bda51cf6,Pioraco 2,dpcn-marche,43.18112,12.97333,-1.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::61e3d7b822aa,Pizzo Tre Vescovi,dpcn-marche,42.9539,13.205,1696.0,False,5,B10004|B11001|B11002|B12101|B13003
MH::dpcn-marche::622e34fe7693,Ponte Arli,dpcn-marche,42.79809,13.46123,298.0,False,1,B13215
MH::dpcn-marche::6338346c8bdf,Conca 2,dpcn-marche,43.8839,12.5289,228.0,True,2,B13011|B13215
MH::dpcn-marche::6689c40ce66f,Ghilardino,dpcn-marche,43.6869,12.86079,118.0,False,1,B13215
MH::dpcn-marche::66c3e6796345,Serravalle di Carda,dpcn-marche,43.54828,12.48647,0.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::684176e9878a,Pintura di Bolognola,dpcn-marche,42.9911,13.2392,1330.0,False,7,B10004|B11001|B11002|B12101|B13003|B13011|B13013
MH::dpcn-marche::6922d644532c,Pontelatrave,dpcn-marche,43.0786,13.08068,0.0,False,1,B13215
MH::dpcn-marche::6ae00920b079,Potenza 2,dpcn-marche,43.36473,13.55058,40.0,True,1,B13215
MH::dpcn-marche::6c6c00e491af,Monte Carpegna,dpcn-marche,43.80088,12.32015,10.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::6db0774658d7,Pian di Pieca,dpcn-marche,43.08003,13.28157,-1.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::6dc6ba256d4c,San Vittore,dpcn-marche,43.40238,12.97163,226.0,False,1,B13215
MH::dpcn-marche::6e29948bd246,Camerino,dpcn-marche,43.1461,13.0661,510.0,False,6,B10004|B11001|B11002|B12101|B13003|B13011
MH::dpcn-marche::6e6af748ce18,Macerata Montalbano,dpcn-marche,43.29223,13.4187,-1.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::726fc555cbad,Foce Musone,dpcn-marche,43.47352,13.63888,3.0,True,1,B13215
MH::dpcn-marche::73546d2b9873,Senigallia,dpcn-marche,43.70103,13.20577,-1.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::7372e732c325,Tolentino,dpcn-marche,43.20922,13.29552,-1.0,False,1,B13011
MH::dpcn-marche::74d9943d3442,Barbara,dpcn-marche,43.58027,13.02907,-1.0,False,1,B13011
MH::dpcn-marche::766a006d71b8,Castel S.Angelo,dpcn-marche,42.89458,13.15208,-1.0,False,1,B13215
MH::dpcn-marche::774b5f1b2068,S.Angelo in Vado 2,dpcn-marche,43.66567,12.41175,10.0,False,1,B13215
MH::dpcn-marche::78cdf4e78a55,Fiastra,dpcn-marche,43.2258,13.4028,174.0,False,1,B13215
MH::dpcn-marche::79447d6d3ce6,Nocelleto,dpcn-marche,42.88655,13.15192,0.0,False,1,B13215
MH::dpcn-marche::7da8c6890c55,Amandola,dpcn-marche,42.97638,13.35133,0.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::825b29c019bc,Monte Valvasseto,dpcn-marche,43.00013,13.23803,0.0,False,3,B12101|B13003|B13013
MH::dpcn-marche::869129252703,Serra dei Conti,dpcn-marche,43.54798,13.02809,121.0,False,1,B13215
MH::dpcn-marche::8909bd7fffab,Misa,dpcn-marche,43.66254,13.16497,38.0,True,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::89144dc4d75b,Monte Bove Sud,dpcn-marche,42.9119,13.1892,1789.0,False,7,B10004|B11001|B11002|B12101|B13003|B13011|B13013
MH::dpcn-marche::8bc9609ce7ac,Chienti 1,dpcn-marche,43.2325,13.3711,155.0,False,1,B13215
MH::dpcn-marche::8e076a8579bf,Tavoleto,dpcn-marche,43.84342,12.5911,-1.0,True,1,B13011
MH::dpcn-marche::8e8c478988f1,Villa Fastiggi,dpcn-marche,43.8906,12.8694,25.0,True,6,B10004|B11001|B11002|B12101|B13003|B13011
MH::dpcn-marche::8edbd0ebf693,Grottazzolina,dpcn-marche,43.1061,13.5986,195.0,True,2,B12101|B13011
MH::dpcn-marche::92cc06e7381f,Monocchia,dpcn-marche,43.36286,13.50756,64.0,True,1,B13215
MH::dpcn-marche::938a23bbc689,Montefano,dpcn-marche,43.4094,13.4369,202.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::945ee5eaa435,Friano,dpcn-marche,43.00722,13.37888,0.0,False,1,B13215
MH::dpcn-marche::95781f3ab475,Ancona Torrette,dpcn-marche,43.61095,13.4498,-1.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::95df3eba5f2d,Jesi,dpcn-marche,43.5319,13.23,126.0,False,3,B12101|B13003|B13011
MH::dpcn-marche::96bede171db0,Recanati,dpcn-marche,43.3836,13.5933,27.0,True,1,B13011
MH::dpcn-marche::9bcb8877b6a1,Corinaldo,dpcn-marche,43.6605,13.04638,-1.0,True,3,B12101|B13003|B13011
