method,lead_hour,region,variable,mae,rmse,sample_windows
v9_1_frozen,2,full,msl,0.7795458761895151,1.0149213263223507,152
v9_1_frozen,2,full,u10,0.9992926616563826,1.2975882117103028,152
v9_1_frozen,2,full,v10,1.0129996284964387,1.3487338332238938,152
v9_1_frozen,2,full,t2m,1.4763132933144487,2.01263034676297,152
v9_1_frozen,2,full,tp,0.028245295831136216,0.12010085430161212,152
v9_1_frozen,2,land,msl,0.9096544862729801,1.158402907449732,152
v9_1_frozen,2,land,u10,0.8614139216772522,1.1121876411103622,152
v9_1_frozen,2,land,v10,0.854597798553263,1.1041033569138876,152
v9_1_frozen,2,land,t2m,1.9768136838847703,2.5069803312230463,152
v9_1_frozen,2,land,tp,0.04219726974575389,0.1576427479959323,152
v9_1_frozen,2,sea,msl,0.607151967828924,0.7854221171551787,152
v9_1_frozen,2,sea,u10,1.1819819921287307,1.5085458150792095,152
v9_1_frozen,2,sea,v10,1.2228820531711464,1.6168284603849499,152
v9_1_frozen,2,sea,t2m,0.8131502758087724,1.0441618011803326,152
v9_1_frozen,2,sea,tp,0.009758930394267796,0.02466602227624515,152
v9_1_frozen,3,full,msl,0.8266301583672169,1.0737125849179432,152
v9_1_frozen,3,full,u10,1.0080330083508449,1.310251314220822,152
v9_1_frozen,3,full,v10,1.0230989238571084,1.3631388631425814,152
v9_1_frozen,3,full,t2m,1.4903539753306112,2.0408045393814316,152
v9_1_frozen,3,full,tp,0.028662844823254877,0.11966844382028756,152
v9_1_frozen,3,land,msl,0.9749876227072778,1.2346814049275925,152
v9_1_frozen,3,land,u10,0.85736727918144,1.1068302346830818,152
v9_1_frozen,3,land,v10,0.8662967588145472,1.1219128034693,152
v9_1_frozen,3,land,t2m,2.0000395887948614,2.5423851796198385,152
v9_1_frozen,3,land,tp,0.04297134579447956,0.15728313625067852,152
v9_1_frozen,3,sea,msl,0.6300565181166361,0.8127213144325423,152
v9_1_frozen,3,sea,u10,1.2076650995003064,1.5389092173611258,152
v9_1_frozen,3,sea,v10,1.2308617925385021,1.6286285730202195,152
v9_1_frozen,3,sea,t2m,0.8150205374904796,1.0577907087189435,152
v9_1_frozen,3,sea,tp,0.009704081036382171,0.02274680594244112,152
v9_1_frozen,4,full,msl,0.8837453268398232,1.1509598769184106,152
v9_1_frozen,4,full,u10,1.0233046222414568,1.3255979747100233,152
v9_1_frozen,4,full,v10,1.0417310582088541,1.3897193496337266,152
v9_1_frozen,4,full,t2m,1.5216335864961776,2.0962561182397534,152
v9_1_frozen,4,full,tp,0.02910463537494456,0.11980154207529774,152
v9_1_frozen,4,land,msl,1.0565934518275304,1.3383286273938497,152
v9_1_frozen,4,land,u10,0.864709678989871,1.111880162057884,152
v9_1_frozen,4,land,v10,0.8829194056464601,1.1468387149096144,152
v9_1_frozen,4,land,t2m,2.052724215004368,2.615381299108516,152
v9_1_frozen,4,land,tp,0.043519017393544815,0.15741364697441246,152
v9_1_frozen,4,sea,msl,0.6547215612311112,0.840659816303108,152
v9_1_frozen,4,sea,u10,1.233442922049808,1.564431381512285,152
v9_1_frozen,4,sea,v10,1.2521564978540265,1.657596746532391,152
v9_1_frozen,4,sea,t2m,0.8179385037228252,1.0739799617247257,152
v9_1_frozen,4,sea,tp,0.010005579200299215,0.023175472231432633,152
v9_1_frozen,5,full,msl,0.9182992636767987,1.1963916643460015,152
v9_1_frozen,5,full,u10,1.042961155619762,1.348721294146009,152
v9_1_frozen,5,full,v10,1.0686683198335993,1.4266217866809339,152
v9_1_frozen,5,full,t2m,1.5564208656400726,2.144449966408853,152
v9_1_frozen,5,full,tp,0.029460979375634442,0.12083745160122784,152
v9_1_frozen,5,land,msl,1.09934486223169,1.393666697268793,152
v9_1_frozen,5,land,u10,0.8783655022656051,1.126128254525384,152
v9_1_frozen,5,land,v10,0.9078804224531453,1.1817525236983815,152
v9_1_frozen,5,land,t2m,2.109958744742137,2.6786960344194783,152
v9_1_frozen,5,land,tp,0.04386929043370165,0.1587650754457214,152
v9_1_frozen,5,sea,msl,0.6784138455915679,0.8685270088922074,152
v9_1_frozen,5,sea,u10,1.26105039631402,1.5965496563242854,152
v9_1_frozen,5,sea,v10,1.2817122838627013,1.697510351385699,152
v9_1_frozen,5,sea,t2m,0.8229831758298372,1.0883364215501194,152
v9_1_frozen,5,sea,tp,0.010369967223695395,0.023463075444950448,152
v9_1_frozen,6,full,msl,0.9449583578485088,1.234627040324769,152
v9_1_frozen,6,full,u10,1.0686827120213522,1.3834576135446426,152
v9_1_frozen,6,full,v10,1.0963291355309592,1.4644747213290537,152
v9_1_frozen,6,full,t2m,1.6019463966172094,2.1990343290256433,152
v9_1_frozen,6,full,tp,0.029629321710016393,0.12164993504383699,152
v9_1_frozen,6,land,msl,1.1328135827307215,1.4431434004259904,152
v9_1_frozen,6,land,u10,0.8989127164000676,1.1518095272237128,152
v9_1_frozen,6,land,v10,0.9321240289875805,1.215468390349733,152
v9_1_frozen,6,land,t2m,2.1852096391948885,2.752722903603123,152
v9_1_frozen,6,land,tp,0.04400496266225189,0.15985754807191066,152
v9_1_frozen,6,sea,msl,0.6960501848795767,0.8857078106939162,152
v9_1_frozen,6,sea,u10,1.2936279562195545,1.6407662627334043,152
v9_1_frozen,6,sea,v10,1.313900901700936,1.740370340290477,152
v9_1_frozen,6,sea,t2m,0.8291226002017847,1.096794360951144,152
v9_1_frozen,6,sea,tp,0.010581597448304367,0.02339585002673354,152
