baseline,scope,lead_hour,region,variable,v9_2_rmse,baseline_rmse,rmse_skill,rmse_skill_percent
input_compatible_reconstruction_persistence,aggregate,,full,msl,1.0513261517721892,2.9453703070044517,0.6430580734544629,64.30580734544628
input_compatible_reconstruction_persistence,aggregate,,full,u10,1.356443604140839,2.1575259260274096,0.37129673030700516,37.129673030700516
input_compatible_reconstruction_persistence,aggregate,,full,v10,1.3778617825242958,1.7588268052147968,0.2166017833938889,21.660178339388892
input_compatible_reconstruction_persistence,aggregate,,full,t2m,2.1983913006352758,16.57867956875396,0.867396478017549,86.7396478017549
input_compatible_reconstruction_persistence,aggregate,,full,tp,0.12220161038164311,0.22149159002756186,0.4482787794948032,44.827877949480325
input_compatible_reconstruction_persistence,aggregate,,land,msl,1.1757597333920273,2.952916031720096,0.6018309627628868,60.18309627628868
input_compatible_reconstruction_persistence,aggregate,,land,u10,1.1720139022607203,1.9726296076113252,0.405862155906743,40.5862155906743
input_compatible_reconstruction_persistence,aggregate,,land,v10,1.1300578103780088,1.3982790597849086,0.19182240306749587,19.182240306749588
input_compatible_reconstruction_persistence,aggregate,,land,t2m,2.773278870789069,18.94259204331985,0.8535955974532496,85.35955974532496
input_compatible_reconstruction_persistence,aggregate,,land,tp,0.15996316855983347,0.2124184922353162,0.2469433010444918,24.69433010444918
input_compatible_reconstruction_persistence,aggregate,,sea,msl,0.8591257273081214,2.935342343875832,0.7073166851898678,70.73166851898678
input_compatible_reconstruction_persistence,aggregate,,sea,u10,1.5677425749071459,2.380494718277932,0.34142152768931033,34.142152768931034
input_compatible_reconstruction_persistence,aggregate,,sea,v10,1.6498345585823881,2.145157928453444,0.2309029854170972,23.09029854170972
input_compatible_reconstruction_persistence,aggregate,,sea,t2m,1.0226796792272466,12.790365773402351,0.9200429684853958,92.00429684853958
input_compatible_reconstruction_persistence,aggregate,,sea,tp,0.02855490862156259,0.23296980139153017,0.8774308582013466,87.74308582013465
input_compatible_reconstruction_persistence,per_lead,1,full,msl,0.9973468937868664,2.985100069784338,0.665891638313177,66.5891638313177
input_compatible_reconstruction_persistence,per_lead,1,full,u10,1.3167071022955528,2.1693465382325168,0.3930397568622923,39.30397568622923
input_compatible_reconstruction_persistence,per_lead,1,full,v10,1.3720841264125898,1.7523747408104757,0.21701443506427232,21.701443506427232
input_compatible_reconstruction_persistence,per_lead,1,full,t2m,2.2049340008274383,16.668710999412305,0.8677201853877496,86.77201853877496
input_compatible_reconstruction_persistence,per_lead,1,full,tp,0.12220017821638035,0.22211284595604908,0.44982840731075546,44.98284073107555
input_compatible_reconstruction_persistence,per_lead,1,land,msl,1.0931442097733746,2.9999944768021725,0.6356179258907817,63.561792589078166
input_compatible_reconstruction_persistence,per_lead,1,land,u10,1.1452058945096177,2.0003385027539244,0.42749395018244196,42.74939501824419
input_compatible_reconstruction_persistence,per_lead,1,land,v10,1.0973279609327542,1.3939076267657469,0.21276852220196252,21.27685222019625
input_compatible_reconstruction_persistence,per_lead,1,land,t2m,2.7855374688717864,19.08029592056538,0.8540097344156261,85.40097344156261
input_compatible_reconstruction_persistence,per_lead,1,land,tp,0.1595809815413709,0.2133694270204657,0.2520906871720455,25.209068717204552
input_compatible_reconstruction_persistence,per_lead,1,sea,msl,0.8540209439860209,2.965249745179792,0.7119902141887752,71.19902141887752
input_compatible_reconstruction_persistence,per_lead,1,sea,u10,1.5143184895149109,2.374827471716423,0.3623458935227717,36.23458935227717
input_compatible_reconstruction_persistence,per_lead,1,sea,v10,1.6678156552200982,2.1366337050591473,0.21941900884975085,21.941900884975084
input_compatible_reconstruction_persistence,per_lead,1,sea,t2m,1.0112201870581548,12.791221067057236,0.9209442021401326,92.09442021401327
input_compatible_reconstruction_persistence,per_lead,1,sea,tp,0.031247167161286532,0.23319346383343761,0.8660032461990215,86.60032461990215
input_compatible_reconstruction_persistence,per_lead,2,full,msl,0.9867175041220111,2.969328762325858,0.6676967816291515,66.76967816291514
input_compatible_reconstruction_persistence,per_lead,2,full,u10,1.322282690308043,2.164508058062067,0.3891070604320538,38.91070604320538
input_compatible_reconstruction_persistence,per_lead,2,full,v10,1.3411980236902445,1.7546101583192348,0.2356148074652682,23.56148074652682
input_compatible_reconstruction_persistence,per_lead,2,full,t2m,2.1198135083126535,16.634447602360826,0.8725648390024204,87.25648390024205
input_compatible_reconstruction_persistence,per_lead,2,full,tp,0.1222261732136087,0.2220025843047776,0.4494380612893688,44.94380612893688
input_compatible_reconstruction_persistence,per_lead,2,land,msl,1.0802683621019302,2.979282083566148,0.6374064852533641,63.74064852533641
input_compatible_reconstruction_persistence,per_lead,2,land,u10,1.147474325524969,1.9919444259009538,0.42394260070485246,42.394260070485245
input_compatible_reconstruction_persistence,per_lead,2,land,v10,1.0922518085146347,1.3952765825412061,0.2171790007932871,21.71790007932871
input_compatible_reconstruction_persistence,per_lead,2,land,t2m,2.66872455241713,19.02764928065281,0.8597449157773435,85.97449157773434
input_compatible_reconstruction_persistence,per_lead,2,land,tp,0.1598448947029029,0.2132582456080657,0.2504632388438942,25.04632388438942
input_compatible_reconstruction_persistence,per_lead,2,sea,msl,0.8469937625670154,2.956088991018558,0.7134748767237982,71.34748767237981
input_compatible_reconstruction_persistence,per_lead,2,sea,u10,1.5233119538282658,2.3739112758595513,0.3583113365192212,35.83113365192212
input_compatible_reconstruction_persistence,per_lead,2,sea,v10,1.612914955941745,2.1397129234970325,0.24620030181166408,24.620030181166406
