bufr_code,canonical_variable,canonical_unit,observation_count,station_count,selected_station_count,first_time,last_time
B10004,pressure,hPa,13270,35,6,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B11001,wind_direction,degree,100841,123,17,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B11002,wind_speed,m s-1,106823,124,17,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B11041,wind_gust_max,m s-1,37543,56,6,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B11043,wind_gust_direction_max,degree,5200,18,4,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B11209,unmapped_B11209,,730,5,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B11210,unmapped_B11210,,3010,5,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B11211,unmapped_B11211,,3010,5,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B11212,unmapped_B11212,,3010,5,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B11213,unmapped_B11213,,3010,5,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B11214,unmapped_B11214,,3010,5,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B11215,unmapped_B11215,,3010,5,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B11216,unmapped_B11216,,3010,5,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B12101,air_temperature,degree_Celsius,294050,368,63,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B13003,relative_humidity,%,227830,263,47,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B13011,precipitation_amount,mm,820741,449,89,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B13013,total_snow_depth,m,11644,33,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B13080,unmapped_B13080,,24,2,1,2026-06-21T09:00:00Z,2026-06-22T00:00:00Z
B13082,unmapped_B13082,,674,2,0,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B13083,unmapped_B13083,,24,2,1,2026-06-21T09:00:00Z,2026-06-22T00:00:00Z
B13215,river_level,m,210675,334,70,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B13231,unmapped_B13231,,24,2,1,2026-06-21T09:00:00Z,2026-06-22T00:00:00Z
B14198,global_visible_irradiance_downward,W m-2,4241,12,2,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B22001,unmapped_B22001,,337,1,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B22004,unmapped_B22004,,1009,1,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B22032,unmapped_B22032,,1009,1,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B22037,unmapped_B22037,,1348,4,4,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B22043,unmapped_B22043,,1034,3,2,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B22062,unmapped_B22062,,24,2,1,2026-06-21T09:00:00Z,2026-06-22T00:00:00Z
B22070,unmapped_B22070,,337,1,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B22071,unmapped_B22071,,337,1,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B22073,unmapped_B22073,,337,1,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B22074,unmapped_B22074,,337,1,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
B22196,unmapped_B22196,,337,1,1,2026-06-15T00:00:00Z,2026-06-22T00:00:00Z
