bufr_code,timerange_indicator,timerange_start_seconds,timerange_end_seconds,aggregation_seconds,observation_count
B10004,254,0,0,,13270
B11001,200,0,3600,,883
B11001,200,0,900,,3010
B11001,201,0,86400,,145
B11001,254,0,0,,96803
B11002,0,0,3600,,899
B11002,0,0,86400,,146
B11002,0,0,900,,3010
B11002,200,0,3600,,897
B11002,200,0,900,,3010
B11002,254,0,0,,98692
B11002,3,0,3600,,169
B11041,2,0,3600,3600,34389
B11041,2,0,86400,86400,144
B11041,2,0,900,900,3010
B11043,205,0,3600,,2190
B11043,205,0,900,,3010
B11209,2,0,3600,3600,730
B11210,205,0,900,,3010
B11211,9,0,900,,3010
B11212,9,0,900,,3010
B11213,9,0,900,,3010
B11214,9,0,900,,3010
B11215,9,0,900,,3010
B11216,9,0,900,,3010
B12101,0,0,3600,,5240
B12101,0,0,86400,,841
B12101,0,0,900,,20360
B12101,2,0,3600,3600,5234
B12101,2,0,86400,86400,841
B12101,2,0,900,900,20352
B12101,254,0,0,,215569
B12101,3,0,3600,,5078
B12101,3,0,86400,,841
B12101,3,0,900,,19694
B13003,0,0,3600,,5237
B13003,0,0,86400,,558
B13003,0,0,900,,20356
B13003,2,0,3600,3600,5233
B13003,2,0,86400,86400,558
B13003,2,0,900,900,20349
B13003,254,0,0,,150219
B13003,3,0,3600,,5073
B13003,3,0,86400,,558
B13003,3,0,900,,19689
B13011,1,0,1800,1800,46246
B13011,1,0,300,300,219637
B13011,1,0,3600,3600,27905
B13011,1,0,60,60,353374
B13011,1,0,600,600,1009
B13011,1,0,86400,86400,2389
B13011,1,0,900,900,170181
B13013,254,0,0,,11644
B13080,254,0,0,,24
B13082,254,0,0,,674
B13083,254,0,0,,24
B13215,254,0,0,,210675
B13231,254,0,0,,24
B14198,0,0,3600,,884
B14198,0,0,86400,,79
B14198,0,0,900,,3278
B22001,0,0,1800,,337
B22004,254,0,0,,1009
B22032,254,0,0,,1009
B22037,254,0,0,,1348
B22043,254,0,0,,1034
B22062,254,0,0,,24
B22070,0,0,1800,,337
B22071,205,0,1800,,337
B22073,2,0,1800,1800,337
B22074,0,0,1800,,337
B22196,205,0,1800,,337
