station_id,station_name,latitude,longitude,station_type,network,coordinate_source,pretraining_value_source,operational_value_source,enabled,profile_land_only,profile_sea_only,profile_dpc_plus_sea,dist_to_coast_km,notes
LEGACY::PUG_latest::PUG_MANFREDONIA,Puglia Virtual - Manfredonia,41.63,15.91,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_MATTINATA,Puglia Virtual - Mattinata,41.71,16.05,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_VIESTE,Puglia Virtual - Vieste,41.88,16.17,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_LESINA_MARINA,Puglia Virtual - Lesina Marina,41.9,15.4,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_CHIEUTI_MARINA,Puglia Virtual - Chieuti Marina,41.92,15.15,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_RODI_GARGANICO,Puglia Virtual - Rodi Garganico,41.93,15.88,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::PUG_latest::PUG_PESCHICI,Puglia Virtual - Peschici,41.95,16.01,legacy_virtual_coastal,ARPA_PUGLIA_VIRTUAL,PUG_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::ABR_latest::ABR_SAN_SALVO,Abruzzo Virtual - San Salvo,42.04,14.73,legacy_virtual_coastal,ARTA_VIRTUAL,ABR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::ABR_latest::ABR_VASTO,Abruzzo Virtual - Vasto,42.11,14.71,legacy_virtual_coastal,ARTA_VIRTUAL,ABR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
LEGACY::ABR_latest::ABR_CASALBORDINO,Abruzzo Virtual - Casalbordino,42.19,14.58,legacy_virtual_coastal,ARTA_VIRTUAL,ABR_latest.csv,disabled,unverified,False,False,False,False,,Retained for provenance only; excluded from every training profile.
