station_id,station_name,network,latitude,longitude,elevation_m,selected_for_project,variable_count,variables
MH::agrmet::03e421c0cb98,Zola Predosa,agrmet,44.49614,11.20006,65.0,False,3,B12101|B13003|B13011
MH::agrmet::1cf49d1cc96e,Castellazzo Villanova d'Arda,agrmet,45.00253,10.00494,41.0,False,3,B12101|B13003|B13011
MH::agrmet::1df76f4d3815,Pieve di Cusignano,agrmet,44.78042,10.03873,277.0,False,3,B12101|B13003|B13011
MH::agrmet::2299c998b431,Carpineti,agrmet,44.47562,10.50865,580.0,False,3,B12101|B13003|B13011
MH::agrmet::3358ae405c51,Padulle Sala Bolognese,agrmet,44.62775,11.29056,25.0,False,3,B12101|B13003|B13011
MH::agrmet::381f89118a64,Castelfranco Emilia,agrmet,44.63005,11.02747,32.0,False,3,B12101|B13003|B13011
MH::agrmet::3de3c02b1712,Lavezzola,agrmet,44.5635,11.84403,5.0,False,3,B12101|B13003|B13011
MH::agrmet::4f39c7dfc9fc,Modigliana Arpa,agrmet,44.12022,11.80825,556.0,False,1,B13011
MH::agrmet::5aec0b97b3f6,Montefiorino,agrmet,44.32841,10.623,632.0,False,3,B12101|B13003|B13011
MH::agrmet::5b1a481c0eb7,Mezzolara,agrmet,44.57105,11.53379,20.0,False,3,B12101|B13003|B13011
MH::agrmet::5e7f0458de15,Carpineta,agrmet,44.08903,12.27459,113.0,True,3,B12101|B13003|B13011
MH::agrmet::72efec4b36f4,Cortile di Carpi,agrmet,44.77839,10.97129,23.0,False,2,B12101|B13003
MH::agrmet::74d9a4793ff9,S. Agata sul Santerno,agrmet,44.44853,11.86667,10.0,False,3,B12101|B13003|B13011
MH::agrmet::8186946ab034,Castel San Pietro Arpa,agrmet,44.41112,11.59701,58.0,False,3,B12101|B13003|B13011
MH::agrmet::81b5c6b3c27a,S. Antonio Arpa,agrmet,44.55254,11.69918,8.0,False,3,B12101|B13003|B13011
MH::agrmet::960e46def7cd,S. Felice sul Panaro,agrmet,44.82606,11.12578,16.0,False,3,B12101|B13003|B13011
MH::agrmet::961d46e49b22,S. Pietro in Vincoli,agrmet,44.31392,12.1602,5.0,True,3,B12101|B13003|B13011
MH::agrmet::9b2566e84a2c,Sellarino Voghiera,agrmet,44.74656,11.74639,3.0,False,1,B13011
MH::agrmet::a555f8e2069e,Vergiano,agrmet,44.03456,12.5005,36.0,True,3,B12101|B13003|B13011
MH::agrmet::ab308350909a,S. Agata Bolognese,agrmet,44.695,11.14493,18.0,False,3,B12101|B13003|B13011
MH::agrmet::af4cde767348,Correggio,agrmet,44.74325,10.77293,33.0,False,3,B12101|B13003|B13011
MH::agrmet::c406206f7085,S. Nicolo',agrmet,45.04139,9.58959,68.0,False,3,B12101|B13003|B13011
MH::agrmet::c5d174656f93,Mirandola,agrmet,44.88612,11.01631,18.0,False,3,B12101|B13003|B13011
MH::agrmet::d2f794c1637d,Zibello,agrmet,45.00695,10.16786,31.0,False,3,B12101|B13003|B13011
MH::agrmet::db18c6591a74,Cavriago,agrmet,44.68953,10.51062,95.0,False,3,B12101|B13003|B13011
MH::agrmet::ee069719a206,Mirabello,agrmet,44.83186,11.45436,10.0,False,3,B12101|B13003|B13011
MH::agrmet::f36b61295afb,Cusercoli,agrmet,44.04111,11.9819,330.0,False,3,B12101|B13003|B13011
MH::agrmet::fdd98c01daac,Formigine,agrmet,44.55123,10.90937,90.0,False,3,B12101|B13003|B13011
MH::arpafvg::0129f41d4c75,Lauzacco,arpafvg,45.98205,13.27254,60.0,False,6,B11001|B11002|B11041|B12101|B13003|B13011
