station_id,station_name,network,latitude,longitude,elevation_m,selected_for_project,variable_count,variables
MH::agrmet::5e7f0458de15,Carpineta,agrmet,44.08903,12.27459,113.0,True,3,B12101|B13003|B13011
MH::agrmet::961d46e49b22,S. Pietro in Vincoli,agrmet,44.31392,12.1602,5.0,True,3,B12101|B13003|B13011
MH::agrmet::a555f8e2069e,Vergiano,agrmet,44.03456,12.5005,36.0,True,3,B12101|B13003|B13011
MH::arpafvg::0ea49cd656d2,Gorgo,arpafvg,45.73623,13.0219,5.0,True,6,B11001|B11002|B11041|B12101|B13003|B13011
MH::arpafvg::148491e3f8c0,Prosecco,arpafvg,45.70394,13.75672,270.0,True,6,B11001|B11002|B11041|B12101|B13003|B13011
MH::arpafvg::24b2d0557d94,Torviscosa,arpafvg,45.81882,13.27557,7.0,True,1,B13011
MH::arpafvg::25423d97fda4,San Lorenzo,arpafvg,45.76609,13.40485,2.0,True,1,B13011
MH::arpafvg::2a95fdd8e55a,Doberdo',arpafvg,45.84298,13.5473,134.0,True,6,B11001|B11002|B11041|B12101|B13003|B13011
MH::arpafvg::3defec6409f9,Grado Marea,arpafvg,45.68316,13.38343,12.0,True,1,B13011
MH::arpafvg::456d8f8fed63,Palazzolo dello Stella,arpafvg,45.8057,13.0526,5.0,True,7,B10004|B11001|B11002|B11041|B12101|B13003|B13011
MH::arpafvg::46e0ccaf6b2b,Grado Meteo,arpafvg,45.68035,13.37329,0.0,True,5,B11001|B11002|B11041|B12101|B13003
MH::arpafvg::62f728ca0bdb,Zavattina T.Cormor,arpafvg,45.8336,13.15991,3.0,True,1,B13011
MH::arpafvg::6aeb0d993d80,Monfalcone,arpafvg,45.78141,13.54884,3.0,True,4,B11001|B11002|B11041|B12101
MH::arpafvg::8cdacf6d0706,San Pelagio,arpafvg,45.76547,13.6868,225.0,True,2,B12101|B13011
MH::arpafvg::92a4d4785303,Sgonico-Zgonik,arpafvg,45.738,13.74206,268.0,True,7,B10004|B11001|B11002|B11041|B12101|B13003|B13011
MH::arpafvg::97ea1f2362a7,Fossalon,arpafvg,45.71477,13.45886,0.0,True,7,B10004|B11001|B11002|B11041|B12101|B13003|B13011
MH::arpafvg::9c98297a8a34,Lignano Sabbiadoro PCR,arpafvg,45.68652,13.12113,15.0,True,1,B13011
MH::arpafvg::9fdbb9d7b23e,Trieste Ist. Nautico,arpafvg,45.64739,13.76454,30.0,True,6,B11001|B11002|B11041|B12101|B13003|B13011
MH::arpafvg::a326e4777fbc,Trieste Cattinara,arpafvg,45.63543,13.83317,257.0,True,3,B11002|B11041|B13011
MH::arpafvg::ccc940f24080,Muggia,arpafvg,45.61048,13.75263,2.0,True,3,B11001|B11002|B11041
MH::arpafvg::ce54e92dd8fa,Monfalcone pluvio,arpafvg,45.79651,13.51151,4.0,True,1,B13011
MH::arpafvg::d6f17e8d87f1,Lignano Sabbiadoro,arpafvg,45.70191,13.14708,7.0,True,6,B10004|B11001|B11002|B11041|B12101|B13003
MH::arpafvg::dba70820e0fe,Trieste molo F.lli Bandiera,arpafvg,45.65,13.75224,1.0,True,7,B10004|B11001|B11002|B11041|B12101|B13003|B13011
MH::arpafvg::e4312ac52f52,Muggia TP,arpafvg,45.60064,13.77578,26.0,True,1,B13011
MH::arpafvg::ed01dbfad1d3,Cervignano del Friuli,arpafvg,45.84949,13.33702,8.0,True,7,B10004|B11001|B11002|B11041|B12101|B13003|B13011
MH::boa::4b091b931c3f,Nausicaa 2,boa,44.21458,12.47587,0.0,True,10,B12101|B22001|B22004|B22032|B22043|B22070|B22071|B22073|B22074|B22196
MH::boa::6b202997b3d0,Calipso,boa,44.42867,12.52183,0.0,True,5,B22001|B22043|B22070|B22071|B22074
MH::dpcn-marche::006ea0f88bf6,Baraccola,dpcn-marche,43.57445,13.52388,-1.0,True,3,B12101|B13003|B13011
MH::dpcn-marche::010b8f07c3bf,Villa Potenza,dpcn-marche,43.32726,13.42604,90.0,True,4,B12101|B13003|B13011|B13215
MH::dpcn-marche::0dc29a9737d7,Valmir,dpcn-marche,43.0413,13.67875,-1.0,True,1,B13215
MH::dpcn-marche::101b7b974c9d,Pianello di Ostra,dpcn-marche,43.62458,13.12703,0.0,True,1,B13215
MH::dpcn-marche::10b908b4b6b6,Piagge,dpcn-marche,43.7375,12.96922,-1.0,True,3,B12101|B13003|B13011
